,name,num,citations,numpapers
550,kevin d fisher,2097163636,12,1
551,sturt w manning,2326812004,16,2
552,david a sewell,2496204321,12,1
553,rosa maria cavalli,2707631004,20,1
554,giorgio licciardi,1533580016,20,1
555,jocelyn chanussot,1995330977,20,1
556,philippe smet,2126899833,20,1
557,dirk poelman,1970773585,20,1
558,t van damme,2562550613,9,1
559,ralf hesse,2682075049,14,1
560,john gater,2120432532,59,3
561,roger white,2148580738,40,1
562,lars holger pilo,2632528483,22,1
563,stine barlindhaug,2233673106,17,1
564,inger marie holmolsen,2636873272,17,1
565,hans tommervik,2631685629,17,1
566,stefano campana,2190919569,41,5
567,francesco soldovieri,662759263,23,2
568,joseangel martinezdelpozo,1986549303,3,1
569,enrique cerrillocuenca,346384598,3,1
570,ernesto salastovar,220352867,3,1
571,a mouget,2318143263,6,1
572,g lucet,2628809062,6,1
573,eleni diamanti,2106220596,11,1
574,fotini vlachaki,2717189156,11,1
575,f mercuri,2159697704,15,1
576,roberta gnoli,2638594626,15,1
577,s paoloni,2634039643,15,1
578,noemi orazi,1719070581,15,1
579,cristina cicero,2227447098,15,1
580,u zammit,1829473803,15,1
581,m marinelli,2792227454,15,1
582,f scudieri,431790006,15,1
583,peng lu,2642719917,10,1
584,qifeng ge,2744784462,10,1
585,wei zhou,2627561254,4,1
586,hongchao wang,2693355889,4,1
587,xin lu,2566770251,4,1
588,timo balz,1160624271,8,2
589,paul e buck,1971398447,20,1
590,donald e sabol,2159295795,20,1
591,alan r gillespie,2136943937,20,1
592,yang lin,2336580750,7,1
593,bruce chapman,2151248842,20,2
594,edwin roman,2166885453,14,1
595,jose luis garrido lopez,2556217711,14,1
596,margaret brown vega,2310374343,10,1
597,nathan craig,1977077451,10,1
598,gerbert asencios lindo,2010729639,10,1
599,carrie hritz,2661484647,23,1
600,vid petrovic,2442924155,6,1
601,david vanoni,2112491573,6,1
602,ashley m richter,2183259269,6,1
603,falko kuester,1975749114,6,1
604,shanti pappu,2158148924,22,1
605,kumar akhilesh,2580858403,22,1
606,sudha ravindranath,2151007825,22,1
607,uday raj,1866305057,22,1
608,boleslo e romero,2322387078,10,1
609,tamara l bray,2127388498,10,1
610,veronique de laet,1822452753,14,2
611,gertrud van loon,2145908065,11,1
612,athena van der perre,2315420599,11,1
613,iris deliever,2554973321,11,1
614,harco willems,2113513447,11,1
615,anna schneider,2128216079,17,1
616,melanie takla,2061988325,17,1
617,alexander nicolay,2149713663,17,1
618,alexandra raab,2025667892,17,1
619,thomas raab,1992513227,17,1
620,kurt a jordan,2126753665,16,1
621,derya maktav,1360304923,5,1
622,james crow,2573919998,5,1
623,c kolay,2061225052,5,1
624,b yegen,2168054161,5,1
625,bihrat onoz,144938103,5,1
626,filiz sunar,1945145238,5,1
627,g coskun,2713663937,5,1
628,h karadogan,1608008508,5,1
629,m cakan,2013272917,5,1
630,i akar,2690350351,5,1
631,c uysal,2638000344,5,1
632,d gucluer,352929536,5,1
633,b geze,1983708620,5,1
634,g ince,2652544907,5,1
635,timothy murtha,2003299285,7,1
636,bruce d cook,2141281351,7,1
637,derek shaffer,2648809741,7,1
638,whittaker schroder,2142418498,7,1
639,elijah j hermitt,2712197541,7,1
640,omar alcover firpi,2514079686,7,1
641,andrew k scherer,2169520167,7,1
642,m c hernandez,2683766552,24,1
643,v cuellar,2661347963,24,1
644,maria danese,2101568107,15,1
645,herbert h nelson,2167501035,4,1
646,daniel a steinhurst,2075892826,4,1
647,david wright,2710134747,4,1
648,tom furuya,2648172093,4,1
649,j r mcdonald,2579042655,4,1
650,kazuya nakano,2409063806,8,1
651,hirofumi chikatsu,1705905948,8,1
652,jay k johnson,2397719753,35,2
653,marco giardano,2549205119,35,2
654,r berle clay,2284107172,35,2
655,thomas j green,2556780817,35,2
656,rinita a dalan,2093835385,56,4
657,carrie a healy,2581560072,11,1
658,kenneth parker,2718109987,11,1
659,bim lowers,2084921354,11,1
660,s j winterbottom,2707986727,18,1
661,tom dawson,2590650281,18,1
662,amelia carolina sparavigna,44995039,3,1
663,p pandey,2680388219,3,1
664,g venkataraman,2708859788,3,1
665,travis freeland,2516925689,14,1
666,brandon heung,2552847950,14,1
667,david v burley,1989736159,14,1
668,geoffrey clark,2110778013,14,1
669,anders knudby,2060985242,14,1
670,federica boschi,2108166555,8,2
671,daniel p bigman,2318398811,17,1
672,christopher sevara,2310247771,20,2
673,wilfried karel,2155243864,42,4
674,camillo ressl,1953889480,21,2
675,ronald peikert,2591446475,23,1
676,cristiana bassani,2043845686,21,1
677,roberto goffredo,2635457114,21,1
678,simone pascucci,1979140108,38,3
679,jarrod burks,2721858661,16,1
680,robert a cook,2095800617,16,1
681,raf trommelmans,2297390270,26,1
682,ignace bourgeois,2021237153,26,1
683,ahmed gaber,2059470363,13,1
684,magaly koch,2170652813,13,1
685,m helmi griesh,364503106,13,1
686,keith morrison,2160686087,10,1
687,rory quinn,2099601777,33,1
688,jonathan m bull,2303550216,33,1
689,justin k dix,2145340102,33,1
690,brooke a berard,2253056947,17,1
691,j m maillol,2707589084,17,1
692,jenny hallstrom,2144445565,17,1
693,kerstin barup,1293095884,17,1
694,rasmus gronlund,2226942039,17,1
695,ann johansson,2301177141,17,1
696,sune svanberg,1988922197,17,1
697,lorenzo palombi,2046692187,17,1
698,david lognoli,2082836310,17,1
699,valentina raimondi,2087678774,52,2
700,giovanna cecchi,2093374627,52,2
701,cinzia conti,2706246750,17,1
702,m mirza,2681820977,8,1
703,g dawod,2643921049,8,1
704,k alghamdi,2687999616,8,1
705,thomas l sever,2142960093,39,1
706,daniel e irwin,2507932216,39,1
707,rachel opitz,2147751813,17,3
708,krysta ryzewski,2049036736,9,1
709,john f cherry,2487663814,9,1
710,brenna moloney,2616701902,9,1
711,david bescoby,2132416217,36,5
712,christian a kull,1804644575,29,1
713,mariangela noviello,2222578724,17,1
714,vito de pasquale,2666438644,17,1
715,jeffrey fleisher,2221595565,14,1
716,paul cheetham,2108954026,14,1
717,harry manley,2345655611,14,1
718,c steele,2522552910,14,1
719,stephanie wynnejones,1999896335,14,1
720,raffaella brumana,210273175,8,1
721,daniela oreni,56393418,8,1
722,l van hecke,2789777154,8,1
723,luigi barazzetti,2791746955,8,1
724,mattia previtali,2115814184,8,1
725,fabio roncoroni,730126969,8,1
726,r valente,2745635594,8,1
727,c richard bates,2651714760,10,1
728,mark lawrence,2430500885,10,1
729,martin dean,2554603063,10,1
730,philip robertson,2802105558,10,1
731,volkmar schultze,2099708036,33,3
732,sven linzen,2314233517,33,3
733,tim schuler,2190849388,21,2
734,a chwala,1965510008,33,3
735,ronny stolz,2133916682,33,3
736,marco schulz,2291888949,33,3
737,hansgeorg meyer,2191669100,21,2
738,yvonne m fowler,2636239501,25,1
739,brady liss,2291309024,3,1
740,matthew howland,2104900665,3,1
741,koen meuleman,2011002973,14,2
742,peter tianyuan shih,2618056586,13,1
743,yahsing chen,2610003017,13,1
744,jiechung chen,2133269388,13,1
745,pier matteo barone,2623044542,17,2
746,elisabetta mattei,2164024915,22,3
747,sebastian lauro,2312096208,22,3
748,elena pettinelli,2134259626,22,3
749,norbert pfeifer,2294009452,10,1
750,hohe warte,2614987275,10,1
751,hiroyuki kamei,2053300735,11,1
752,magdy ahmed atya,2634050108,11,1
753,tareq fahmy abdallatif,2024375324,15,2
754,masato mori,2426923688,11,1
755,pasomphone hemthavy,1577893859,11,1
756,francesc cecilia conesa,1992657615,10,1
757,marco madella,2127322216,10,1
758,nikolaos galiatsatos,1123723900,15,2
759,andrea l balbo,2061637240,10,1
760,s v rajesh,2480807005,10,1
761,p ajithprasad,386977350,10,1
762,martin seeliger,2690381875,20,1
763,melanie bartz,1964161871,20,1
