source,target
2497468488,2091121559
2497468488,2125856335
2497468488,2106625025
2073163184,40619706
2073163184,640388030
2073163184,2071719485
2073163184,2141767691
2073163184,1254409997
2073163184,2053204079
2093651953,2091460873
2093651953,2278448846
2093651953,1798489336
2093651953,1584092637
2093651953,1932582440
2093651953,2025333233
2017167989,2083281122
2017167989,2202777762
2017167989,2083511573
2017167989,1997575625
2081497821,1993243599
2081497821,1966625611
2081497821,2305136657
2282512006,2278448846
2282512006,1932582440
2282512006,2042474989
2282512006,2470067090
2282512006,2073858706
2091769082,2016685829
2127229172,2011551841
2127229172,2142566733
2127229172,2087375155
2021984623,2043002852
2021984623,2155545446
2021984623,2132441697
1990453689,1972313293
1990453689,391919516
1990453689,2029878653
2553066784,40619706
2553066784,1978845392
2553066784,1968999285
2553066784,864372470
2553066784,1555700134
2553066784,1913732766
2553066784,1609821603
2553066784,2087375155
2553066784,1859986355
2553066784,2081497821
2553066784,2016685829
2553066784,2045381284
2553066784,2060948559
2553066784,2313038701
1996648577,2074471048
1996648577,2043002852
1996648577,2004638404
1996648577,1996922388
1996648577,2080058192
1996648577,2064106118
1996648577,1990868684
1996648577,2074039810
1996648577,2086871164
1996648577,1990453689
1996648577,1971256359
1996648577,1972313293
1996648577,2060948559
1996648577,2080892231
1996648577,2023573580
1996648577,2080276144
1996648577,2064182806
1996648577,2148089768
1996648577,1984256151
1996648577,2241619111
2470067090,1798489336
2470067090,1997575625
2129428187,2026838648
2129428187,1497653339
2129428187,2038220201
2129428187,1965300569
1971256359,1555700134
1971256359,1609821603
1971256359,1545519422
1971256359,1540377832
1971256359,1880836256
1971256359,1580987700
1971256359,2106652097
1971256359,1966625611
1971256359,2241619111
1971256359,86252855
1971256359,2035436902
2075496765,2043002852
2075496765,2129493656
2075496765,2058105619
2075496765,2086349579
2075496765,1913732766
2075496765,2118955670
2075496765,2021984623
2075496765,1540377832
2075496765,1880836256
2075496765,2077389783
2075496765,2073691881
2075496765,1575247910
2075496765,2146644577
1996716416,2083281122
1996716416,1504183433
1996716416,2091460873
1996716416,2202777762
1996716416,2278448846
1996716416,2086349579
1996716416,1967892600
1996716416,2017167989
1996716416,2033472262
